,AAPL US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMZN US Equity,,,,,,,,,SPX Index,,,,,,,,
Dates,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN
6/10/2022,142.64,23.1116,12.9584,4.698,22.2614,1.628,5.8377,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.15,82.5245,26.6647,-2.2072,62.3581,4.714,2.3288,12.667,-3.3012,4017.82,#N/A N/A,#N/A N/A,4.82,19.5188,#N/A N/A,2.4179,#N/A N/A,12.75
6/13/2022,137.13,23.1116,12.9584,4.885,21.4091,1.566,5.6142,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.65,82.5245,26.6647,-2.3345,58.9573,4.456,2.2018,12.667,-3.3012,3900.86,#N/A N/A,#N/A N/A,5.01,18.7599,#N/A N/A,2.324,#N/A N/A,12.74
6/14/2022,131.88,23.1116,12.9584,4.8526,21.5519,1.579,5.6517,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.67,82.5245,26.6647,-2.3655,58.1839,4.414,2.1729,12.667,-3.3012,3749.63,#N/A N/A,#N/A N/A,5.03,18.6892,#N/A N/A,2.3152,#N/A N/A,12.74
6/15/2022,132.76,23.1116,12.9584,4.757,21.9854,1.606,5.7654,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.31,82.5245,26.6647,-2.2477,61.2321,4.691,2.2868,12.667,-3.3012,3735.48,#N/A N/A,#N/A N/A,4.95,18.962,#N/A N/A,2.349,#N/A N/A,12.74
6/16/2022,135.43,23.1116,12.9584,4.9534,21.1136,1.542,5.5368,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.67,82.5245,26.6647,-2.3347,58.9516,4.516,2.2016,12.667,-3.3012,3789.99,#N/A N/A,#N/A N/A,5.12,18.3456,#N/A N/A,2.2727,#N/A N/A,12.74
6/17/2022,130.06,23.1116,12.9584,4.8969,21.3571,1.56,5.6006,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.66,82.5245,26.6647,-2.2784,60.4075,4.627,2.256,12.667,-3.3012,3666.77,#N/A N/A,#N/A N/A,5.11,18.3861,#N/A N/A,2.2777,#N/A N/A,12.74
6/20/2022,130.06,23.1116,12.9584,4.8969,21.3571,1.56,5.6006,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.66,82.5245,26.6647,-2.2784,60.4075,4.627,2.256,12.667,-3.3012,3666.77,#N/A N/A,#N/A N/A,5.11,18.3861,#N/A N/A,2.2777,#N/A N/A,12.74
6/21/2022,131.56,23.1116,12.9584,4.7416,22.0568,1.611,5.7841,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.22,82.5245,26.6647,-2.2269,61.8065,4.735,2.3082,12.667,-3.3012,3674.84,#N/A N/A,#N/A N/A,4.97,18.8769,#N/A N/A,2.3409,#N/A N/A,12.74
6/22/2022,135.87,23.1116,12.9584,4.7598,21.9724,1.605,5.762,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.68,82.5245,26.6647,-2.2213,61.96,4.746,2.3139,12.667,-3.3012,3764.79,#N/A N/A,#N/A N/A,4.97,18.8524,#N/A N/A,2.3378,#N/A N/A,12.74
6/23/2022,135.35,23.1116,12.9584,4.6593,22.4464,1.64,5.8863,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.95,82.5245,26.6647,-2.1524,63.9448,4.898,2.3881,12.667,-3.3012,3759.89,#N/A N/A,#N/A N/A,4.93,19.0321,#N/A N/A,2.3601,#N/A N/A,12.74
6/24/2022,138.27,23.1116,12.9584,4.6492,23.3762,1.68,5.9707,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.44,82.5245,26.6647,-2.0781,66.231,5.074,2.4734,12.667,-3.3012,3795.73,#N/A N/A,#N/A N/A,4.78,19.6135,#N/A N/A,2.4322,#N/A N/A,12.74
6/27/2022,141.66,18.7651,12.8096,4.6492,23.3762,1.68,5.9707,31.1973,23.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.46,82.5245,26.6647,-2.1376,64.3884,4.932,2.4046,12.667,-3.3012,3911.74,#N/A N/A,#N/A N/A,4.79,19.5769,#N/A N/A,2.4235,#N/A N/A,12.72
6/28/2022,141.66,18.7651,12.8096,4.7919,22.6799,1.63,5.7928,31.1973,23.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.22,82.5245,26.6647,-2.2534,61.0785,4.679,2.281,12.667,-3.3012,3900.11,#N/A N/A,#N/A N/A,4.89,19.1825,#N/A N/A,2.3747,#N/A N/A,12.72
6/29/2022,137.44,18.7651,12.8096,4.7303,22.9752,1.651,5.8683,31.1973,23.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4,82.5245,26.6647,-2.2219,61.943,4.726,2.3133,12.667,-3.3012,3821.55,#N/A N/A,#N/A N/A,4.9,19.1548,#N/A N/A,2.3723,#N/A N/A,12.73
6/30/2022,139.23,18.7651,12.8096,4.8171,22.5611,1.621,5.7625,31.1973,23.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.92,70.1217,26.1453,-2.7575,96.45,4.609,2.2217,12.4091,-1.6728,3818.83,#N/A N/A,#N/A N/A,5.26,18.465,#N/A N/A,2.2914,#N/A N/A,11.97
7/1/2022,136.72,18.7651,12.8096,4.7405,22.9257,1.65,5.8556,31.1973,23.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.21,70.1217,26.1453,-2.6732,99.4921,4.754,2.2917,12.4091,-1.6728,3785.38,#N/A N/A,#N/A N/A,5.2,18.6578,#N/A N/A,2.3155,#N/A N/A,11.96
